,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
1705,937.,543 Skull Creek Fresh Hopped Pale Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.5%,N/A
1706,936.,Loafin Bräu,Tampa Bay Brewing Company,"Tampa, FL",Altbier,16 oz.,5.5%,N/A
1707,935.,Fascist Pig Ale,Finch's Beer Company,"Chicago, IL",American Amber / Red Ale,16 oz.,8.0%,72
1708,934.,The Deuce,Sun King Brewing Company,"Indianapolis, IN",American Brown Ale,16 oz. Alumi-Tek®	,7.0%,N/A
1709,933.,The Deuce,Oskar Blues Brewery,"Longmont, CO",American Brown Ale,16 oz. Alumi-Tek®	,7.0%,N/A
1710,932.,Booyah Farmhouse Ale,Milwaukee Brewing Company,"Milwaukee, WI",Saison / Farmhouse Ale,16 oz.,6.5%,20
1711,931.,Wood Splitter Pilsner (2012),Bonfire Brewing Company,"Eagle, CO",Czech Pilsener,12 oz.,4.8%,N/A
1712,930.,Great Crescent Oktoberfest Lager,Great Crescent Brewery,"Aurora, IN",Märzen / Oktoberfest,16 oz.,5.7%,25
1713,929.,Single Engine Red,Denali Brewing Company,"Talkeetna, AK",Irish Red Ale,12 oz.,5.8%,46
1714,928.,Belgorado,Wynkoop Brewing Company,"Denver, CO",Belgian IPA,12 oz.,6.7%,45
1715,927.,Dirty Hippie Dark Wheat,Palisade Brewing Company,"Palisade, CO",American Dark Wheat Ale,12 oz.,5.3%,N/A
